total_jobs,origin_loc_lat,origin_loc_lon,dest_loc_lat,dest_loc_lon,origin_geom,dest_geom
56,35.29479538636393,-85.11181094134983,35.1186748941384,-85.14148892460592,POINT (-85.11181094134983 35.29479538636393),POINT (-85.14148892460592 35.1186748941384)
60,35.28449244366668,-85.11568423653205,35.318202489050115,-85.18292895098614,POINT (-85.11568423653205 35.28449244366668),POINT (-85.18292895098614 35.318202489050115)
89,35.28306317392268,-85.11069240626567,35.16434820796946,-85.20523150838177,POINT (-85.11069240626567 35.28306317392268),POINT (-85.20523150838177 35.16434820796946)
50,35.287430057821965,-85.11534561511426,35.297537374570595,-85.10605899097,POINT (-85.11534561511426 35.287430057821965),POINT (-85.10605899097 35.297537374570595)
15,35.29653928536358,-85.12229088366554,35.23492738387671,-84.98614893831596,POINT (-85.12229088366554 35.29653928536358),POINT (-84.98614893831596 35.23492738387671)
60,35.283474685711326,-85.127870764094,35.27048328586462,-85.14824764225622,POINT (-85.127870764094 35.283474685711326),POINT (-85.14824764225622 35.27048328586462)
57,35.2855269792544,-85.11772875643427,35.28001138968521,-85.10799338971357,POINT (-85.11772875643427 35.2855269792544),POINT (-85.10799338971357 35.28001138968521)
30,35.293066517548766,-85.11934360904117,35.24677323294983,-85.13852103551973,POINT (-85.11934360904117 35.293066517548766),POINT (-85.13852103551973 35.24677323294983)
24,35.286204092976675,-85.12109670154008,35.37094359700589,-85.08562240840133,POINT (-85.12109670154008 35.286204092976675),POINT (-85.08562240840133 35.37094359700589)
70,35.28918682834119,-85.11341534855157,35.297156027224105,-85.12018947147514,POINT (-85.11341534855157 35.28918682834119),POINT (-85.12018947147514 35.297156027224105)
5,35.295162863861414,-85.10530950234484,35.30288019472739,-85.08089004720125,POINT (-85.10530950234484 35.295162863861414),POINT (-85.08089004720125 35.30288019472739)
87,35.2866121491405,-85.11971470634762,35.280809625697366,-85.09772748035755,POINT (-85.11971470634762 35.2866121491405),POINT (-85.09772748035755 35.280809625697366)
7,35.287907238648884,-85.11477320618958,35.296559310838376,-84.98672078945734,POINT (-85.11477320618958 35.287907238648884),POINT (-84.98672078945734 35.296559310838376)
85,35.28162520882707,-85.11410448432963,35.24706653040682,-85.03753919485979,POINT (-85.11410448432963 35.28162520882707),POINT (-85.03753919485979 35.24706653040682)
54,35.28905627765587,-85.11241901185902,35.291959664174136,-85.14183301682826,POINT (-85.11241901185902 35.28905627765587),POINT (-85.14183301682826 35.291959664174136)
21,35.27414164229708,-85.12621282616398,35.299117627050926,-85.11859683385062,POINT (-85.12621282616398 35.27414164229708),POINT (-85.11859683385062 35.299117627050926)
5,35.28366323516386,-85.11130231928999,35.258802209655464,-85.11459554172507,POINT (-85.11130231928999 35.28366323516386),POINT (-85.11459554172507 35.258802209655464)
11,35.294328477601255,-85.11764941025108,35.29276226605782,-85.09326400679882,POINT (-85.11764941025108 35.294328477601255),POINT (-85.09326400679882 35.29276226605782)
43,35.28604429033029,-85.10771907513242,35.32276629349711,-85.17204808209063,POINT (-85.10771907513242 35.28604429033029),POINT (-85.17204808209063 35.32276629349711)
47,35.2851535205285,-85.1173995550271,35.292688297714555,-85.0826422196187,POINT (-85.1173995550271 35.2851535205285),POINT (-85.0826422196187 35.292688297714555)
96,35.284178387862625,-85.11165059439878,35.23300082866768,-84.91976674446768,POINT (-85.11165059439878 35.284178387862625),POINT (-84.91976674446768 35.23300082866768)
82,35.28219793397988,-85.1298128054982,35.2814107468362,-85.11433174748905,POINT (-85.1298128054982 35.28219793397988),POINT (-85.11433174748905 35.2814107468362)
12,35.28581999559546,-85.12831243232716,35.26365584009285,-85.12510559617988,POINT (-85.12831243232716 35.28581999559546),POINT (-85.12510559617988 35.26365584009285)
66,35.29027930068906,-85.12597219367069,35.29974848713159,-85.14193790326621,POINT (-85.12597219367069 35.29027930068906),POINT (-85.14193790326621 35.29974848713159)
49,35.28762455649717,-85.11154573103448,35.266339963290754,-85.1787461242526,POINT (-85.11154573103448 35.28762455649717),POINT (-85.1787461242526 35.266339963290754)
81,35.28302587500159,-85.10748354931653,35.27040067033944,-85.11679152477846,POINT (-85.10748354931653 35.28302587500159),POINT (-85.11679152477846 35.27040067033944)
17,35.28493184099588,-85.11868533054492,35.27374982325876,-85.12919061052857,POINT (-85.11868533054492 35.28493184099588),POINT (-85.12919061052857 35.27374982325876)
26,35.28910167187253,-85.11048528519959,35.24563066827706,-85.15346771306884,POINT (-85.11048528519959 35.28910167187253),POINT (-85.15346771306884 35.24563066827706)
80,35.288320483422716,-85.1110365188914,35.28640063163638,-85.0918347569679,POINT (-85.1110365188914 35.288320483422716),POINT (-85.0918347569679 35.28640063163638)
1,35.281725989367544,-85.11240890815637,35.289567882158096,-85.12021289261851,POINT (-85.11240890815637 35.281725989367544),POINT (-85.12021289261851 35.289567882158096)
16,35.28526580988251,-85.11628743498177,35.32724836194461,-85.14491857248545,POINT (-85.11628743498177 35.28526580988251),POINT (-85.14491857248545 35.32724836194461)
42,35.286060114110086,-85.11243439140027,35.31001815653847,-85.10728673345922,POINT (-85.11243439140027 35.286060114110086),POINT (-85.10728673345922 35.31001815653847)
25,35.28581575081595,-85.10308619587784,35.27464181569714,-85.13325189829587,POINT (-85.10308619587784 35.28581575081595),POINT (-85.13325189829587 35.27464181569714)
8,35.2784311201012,-85.10681296748682,35.289289519628184,-85.10052078260439,POINT (-85.10681296748682 35.2784311201012),POINT (-85.10052078260439 35.289289519628184)
34,35.29032243265116,-85.11335764301391,35.30387735801388,-85.14080444433631,POINT (-85.11335764301391 35.29032243265116),POINT (-85.14080444433631 35.30387735801388)
42,35.28507793510999,-85.1189298859264,35.286452388653856,-85.0976676186897,POINT (-85.1189298859264 35.28507793510999),POINT (-85.0976676186897 35.286452388653856)
85,35.28542361276581,-85.11713054540525,35.28717402184718,-85.1291404306298,POINT (-85.11713054540525 35.28542361276581),POINT (-85.1291404306298 35.28717402184718)
46,35.2866339831422,-85.11664500309996,35.30372914796434,-85.05593759076,POINT (-85.11664500309996 35.2866339831422),POINT (-85.05593759076 35.30372914796434)
4,35.27611282409685,-85.11395839677625,35.201866969057825,-85.11935644121274,POINT (-85.11395839677625 35.27611282409685),POINT (-85.11935644121274 35.201866969057825)
22,35.284807090287586,-85.11752441564252,35.30057434276674,-85.12577337732094,POINT (-85.11752441564252 35.284807090287586),POINT (-85.12577337732094 35.30057434276674)
4,35.286151699752295,-85.11307466487759,35.271130788637656,-85.25128409168902,POINT (-85.11307466487759 35.286151699752295),POINT (-85.25128409168902 35.271130788637656)
68,35.28438814562553,-85.11930791982137,35.28194011488198,-85.1878546549714,POINT (-85.11930791982137 35.28438814562553),POINT (-85.1878546549714 35.28194011488198)
77,35.28500367150357,-85.1192155304834,35.25762001197101,-85.10349670596753,POINT (-85.1192155304834 35.28500367150357),POINT (-85.10349670596753 35.25762001197101)
49,35.28362287046414,-85.11435965450418,35.291282198840975,-85.09894500466835,POINT (-85.11435965450418 35.28362287046414),POINT (-85.09894500466835 35.291282198840975)
80,35.29513909223031,-85.11174240910994,35.29406566230747,-85.14053337128499,POINT (-85.11174240910994 35.29513909223031),POINT (-85.14053337128499 35.29406566230747)
1,35.28597230246463,-85.11518084404419,35.27358804459475,-85.1099190139816,POINT (-85.11518084404419 35.28597230246463),POINT (-85.1099190139816 35.27358804459475)
64,35.2843629892557,-85.10616661901747,35.26395672045839,-85.11774488016705,POINT (-85.10616661901747 35.2843629892557),POINT (-85.11774488016705 35.26395672045839)
66,35.277889690022675,-85.12102283295843,35.25452056033835,-85.15257756540638,POINT (-85.12102283295843 35.277889690022675),POINT (-85.15257756540638 35.25452056033835)
81,35.282544411751935,-85.11903302682411,35.265240914074965,-85.12692277032929,POINT (-85.11903302682411 35.282544411751935),POINT (-85.12692277032929 35.265240914074965)
22,35.28458496456395,-85.11528213308141,35.30279245162357,-85.09419295015908,POINT (-85.11528213308141 35.28458496456395),POINT (-85.09419295015908 35.30279245162357)
4,35.28729605952579,-85.11765821338354,35.3054114841254,-85.1408332323268,POINT (-85.11765821338354 35.28729605952579),POINT (-85.1408332323268 35.3054114841254)
14,35.285760209111125,-85.11724405682867,35.31133351826944,-85.08350521073282,POINT (-85.11724405682867 35.285760209111125),POINT (-85.08350521073282 35.31133351826944)
12,35.288289491301,-85.11123936582585,35.29979548682859,-85.10269697943072,POINT (-85.11123936582585 35.288289491301),POINT (-85.10269697943072 35.29979548682859)
94,35.28335170282393,-85.11169434796403,35.195486817427685,-85.11446125403323,POINT (-85.11169434796403 35.28335170282393),POINT (-85.11446125403323 35.195486817427685)
16,35.27935979305059,-85.11097456278662,35.33826665061873,-85.11461956349744,POINT (-85.11097456278662 35.27935979305059),POINT (-85.11461956349744 35.33826665061873)
67,35.28160580488724,-85.12075385414971,35.29779353651694,-85.15877943279129,POINT (-85.12075385414971 35.28160580488724),POINT (-85.15877943279129 35.29779353651694)
77,35.286162375560586,-85.12438654145669,35.29340017782739,-85.14321414119566,POINT (-85.12438654145669 35.286162375560586),POINT (-85.14321414119566 35.29340017782739)
72,35.287519839564695,-85.11859507378297,35.30124940018506,-85.20432956407728,POINT (-85.11859507378297 35.287519839564695),POINT (-85.20432956407728 35.30124940018506)
46,35.28676815016229,-85.11482757039887,35.3201948007945,-85.06689060939865,POINT (-85.11482757039887 35.28676815016229),POINT (-85.06689060939865 35.3201948007945)
85,35.28766654085532,-85.11722294441375,35.229633300838856,-85.2303260172143,POINT (-85.11722294441375 35.28766654085532),POINT (-85.2303260172143 35.229633300838856)
2,35.286351130822865,-85.11466070027201,35.15868486770002,-85.01679717493053,POINT (-85.11466070027201 35.286351130822865),POINT (-85.01679717493053 35.15868486770002)
57,35.27930514256285,-85.10983473390529,35.278651111403505,-85.09537698512035,POINT (-85.10983473390529 35.27930514256285),POINT (-85.09537698512035 35.278651111403505)
3,35.2905164715574,-85.1097352116777,35.29165844700168,-85.08771201737744,POINT (-85.1097352116777 35.2905164715574),POINT (-85.08771201737744 35.29165844700168)
