total_jobs,origin_loc_lat,origin_loc_lon,dest_loc_lat,dest_loc_lon,origin_geom,dest_geom
76,35.225555158051414,-85.16051381747101,35.24249914876386,-85.14923222933542,POINT (-85.16051381747101 35.225555158051414),POINT (-85.14923222933542 35.24249914876386)
49,35.22941567251287,-85.16236823485434,35.177491954917905,-85.14573898746212,POINT (-85.16236823485434 35.22941567251287),POINT (-85.14573898746212 35.177491954917905)
58,35.239242406929094,-85.15521343009449,35.33943773685027,-85.03773190629461,POINT (-85.15521343009449 35.239242406929094),POINT (-85.03773190629461 35.33943773685027)
92,35.23656298834985,-85.16201233160072,35.21695750075796,-85.1417783623759,POINT (-85.16201233160072 35.23656298834985),POINT (-85.1417783623759 35.21695750075796)
91,35.23723211786461,-85.14866946078618,35.18886279491134,-85.09103642778264,POINT (-85.14866946078618 35.23723211786461),POINT (-85.09103642778264 35.18886279491134)
17,35.23307053641609,-85.15486977445434,35.25066519327924,-85.13205172637264,POINT (-85.15486977445434 35.23307053641609),POINT (-85.13205172637264 35.25066519327924)
46,35.235466786623675,-85.16717459950895,35.21908487777878,-85.14166262310064,POINT (-85.16717459950895 35.235466786623675),POINT (-85.14166262310064 35.21908487777878)
3,35.23321509202541,-85.16560011594274,35.28561357937115,-85.18216362637808,POINT (-85.16560011594274 35.23321509202541),POINT (-85.18216362637808 35.28561357937115)
58,35.229596630796856,-85.16196201501846,35.231204638703005,-85.14492583305835,POINT (-85.16196201501846 35.229596630796856),POINT (-85.14492583305835 35.231204638703005)
41,35.23516986455486,-85.16482023326341,35.255528340588874,-85.16639341519796,POINT (-85.16482023326341 35.23516986455486),POINT (-85.16639341519796 35.255528340588874)
96,35.230356380722526,-85.1607475792836,35.21057631230009,-85.19189888335592,POINT (-85.1607475792836 35.230356380722526),POINT (-85.19189888335592 35.21057631230009)
16,35.231766631536196,-85.16307018623495,35.21682967875222,-85.11523586585025,POINT (-85.16307018623495 35.231766631536196),POINT (-85.11523586585025 35.21682967875222)
57,35.232821191019326,-85.16343583580222,35.28785261823618,-85.19163159453373,POINT (-85.16343583580222 35.232821191019326),POINT (-85.19163159453373 35.28785261823618)
77,35.229912365015146,-85.16482398542027,35.20378147287252,-85.11184577915749,POINT (-85.16482398542027 35.229912365015146),POINT (-85.11184577915749 35.20378147287252)
19,35.234824534274814,-85.1757825097399,35.23747987758019,-85.15503828597235,POINT (-85.1757825097399 35.234824534274814),POINT (-85.15503828597235 35.23747987758019)
79,35.22532795204316,-85.15270546094146,35.259074453511474,-85.14935421612105,POINT (-85.15270546094146 35.22532795204316),POINT (-85.14935421612105 35.259074453511474)
84,35.22395389431895,-85.16418376043005,35.20524041062853,-85.13783947068775,POINT (-85.16418376043005 35.22395389431895),POINT (-85.13783947068775 35.20524041062853)
68,35.22890298305794,-85.16191852718148,35.223711091868445,-85.12261057884118,POINT (-85.16191852718148 35.22890298305794),POINT (-85.12261057884118 35.223711091868445)
